"term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"(Intercept)",-19.4158822597003,0.464494255327394,-41.8000481965384,2.26867510101881e-78,-20.3346339041663,-18.4971306152343,"IFNy"
"current_infectionE. ferrisi",2.02242750624244,0.66799729694822,3.02759833831964,0.00296122745990218,0.701154728310121,3.34370028417476,"IFNy"
"current_infectionE. falciformis",1.65200007896649,0.664152793955626,2.4873795518157,0.0141057859262982,0.338331579033503,2.96566857889948,"IFNy"
"(Intercept)",-16.4214156190915,0.438923132478143,-37.412964603567,1.82504184683401e-72,-17.2895885730805,-15.5532426651026,"CXCR3"
"current_infectionE. ferrisi",0.340919005671356,0.631223018800925,0.540092796867529,0.590036248171472,-0.907615674567883,1.5894536859106,"CXCR3"
"current_infectionE. falciformis",-0.855651455191465,0.627590161608447,-1.36339207899391,0.175062408954654,-2.09700048462573,0.385697574242799,"CXCR3"
"(Intercept)",-16.3688865591216,0.59370217247494,-27.5708719253719,7.468171542834e-57,-17.5432064587293,-15.194566659514,"IL.6"
"current_infectionE. ferrisi",-0.394677206892161,0.853813458093282,-0.462252267343672,0.644655724664119,-2.08348715382576,1.29413274004144,"IL.6"
"current_infectionE. falciformis",-0.11471701199385,0.848899533426591,-0.135136146830938,0.892708535116684,-1.79380740628169,1.56437338229399,"IL.6"
"(Intercept)",-16.0400376530045,0.363734510074663,-44.0982013219258,2.95729751474924e-81,-16.7594904243732,-15.3205848816358,"IL.13"
"current_infectionE. ferrisi",0.269290270243655,0.523092948405579,0.514803862419613,0.607544570623083,-0.765367319261861,1.30394785974917,"IL.13"
"current_infectionE. falciformis",-0.412588704833333,0.520082408670257,-0.793314093987983,0.429007844750581,-1.44129156335814,0.616114153691479,"IL.13"
"(Intercept)",-18.9029305754249,0.328119739986321,-57.6098547932925,6.35189468118562e-96,-19.5519387111266,-18.2539224397232,"IL1RN"
"current_infectionE. ferrisi",0.576871520984417,0.471874725838593,1.22250989382665,0.223676871799852,-0.356478408264082,1.51022145023291,"IL1RN"
"current_infectionE. falciformis",0.413012905567391,0.469158960664237,0.88032615849998,0.380270593318905,-0.514965345363655,1.34099115649844,"IL1RN"
"(Intercept)",-17.7892148087372,0.475123799062511,-37.4412202542537,1.6650192666739e-72,-18.7289912789671,-16.8494383385074,"CASP1"
"current_infectionE. ferrisi",-0.0640028037864259,0.683283829346444,-0.0936694255557666,0.925512719765865,-1.41551175066588,1.28750614309303,"CASP1"
"current_infectionE. falciformis",-0.283571764777401,0.679351348273969,-0.417415473595325,0.677047581328496,-1.62730241642342,1.06015888686862,"CASP1"
"(Intercept)",-17.1309252715963,0.419141181283075,-40.8714916037483,3.63351225491415e-77,-17.9599702923918,-16.3018802508009,"CXCL9"
"current_infectionE. ferrisi",2.87692119733153,0.602774249467162,4.77280043046739,4.71787009206469e-06,1.68465708084772,4.06918531381534,"CXCL9"
"current_infectionE. falciformis",2.08368451139527,0.599305122546256,3.47683414175129,0.000685892511935503,0.898282193581486,3.26908682920905,"CXCL9"
"(Intercept)",-18.8570181924632,0.449188237223822,-41.9802137050778,1.33266053780731e-78,-19.7454951260117,-17.9685412589147,"IDO1"
"current_infectionE. ferrisi",2.50099502831295,0.645985445126674,3.87159656178092,0.000168767766806712,1.22326084063625,3.77872921598965,"IDO1"
"current_infectionE. falciformis",1.05732637766612,0.642267626224849,1.64623956508741,0.10207548576334,-0.213054108235585,2.32770686356782,"IDO1"
"(Intercept)",-16.0827368919456,0.350932397849308,-45.8285897526384,2.42104981890981e-83,-16.776867581233,-15.3886062026582,"IRGM1"
